Name,Value,Weight
Product_1,454,18
Product_2,204,20
Product_3,423,13
Product_4,582,20
Product_5,611,20
Product_6,772,15
Product_7,134,13
Product_8,433,20
Product_9,207,20
Product_10,711,11
Product_11,947,13
Product_12,152,12
Product_13,483,2
Product_14,896,15
Product_15,967,8
Product_16,162,11
Product_17,766,1
Product_18,324,18
Product_19,598,12
Product_20,297,15
Product_21,944,11
Product_22,371,17
Product_23,254,5
Product_24,427,18
Product_25,732,5
Product_26,760,16
Product_27,295,11
Product_28,135,19
Product_29,882,4
Product_30,486,19
Product_31,531,16
Product_32,384,9
Product_33,210,12
Product_34,358,9
Product_35,620,13
Product_36,947,11
Product_37,424,2
Product_38,950,19
Product_39,735,15
Product_40,806,13
Product_41,605,18
Product_42,159,15
Product_43,778,8
Product_44,277,8
Product_45,804,3
Product_46,115,16
Product_47,407,8
Product_48,962,7
Product_49,138,1
Product_50,965,5
Product_51,312,10
Product_52,983,2
Product_53,511,12
Product_54,491,10
Product_55,384,20
Product_56,838,7
Product_57,985,20
Product_58,654,5
Product_59,682,1
Product_60,294,15
Product_61,508,12
Product_62,129,17
Product_63,309,15
Product_64,305,8
Product_65,265,11
Product_66,707,6
Product_67,522,7
Product_68,322,1
Product_69,530,14
Product_70,657,17
Product_71,933,9
Product_72,130,17
Product_73,704,15
Product_74,277,14
Product_75,555,10
Product_76,645,12
Product_77,485,15
Product_78,893,13
Product_79,174,1
Product_80,640,6
Product_81,409,10
Product_82,680,18
Product_83,437,2
Product_84,216,10
Product_85,957,11
Product_86,746,7
Product_87,138,18
Product_88,535,3
Product_89,364,1
Product_90,492,13
Product_91,706,12
Product_92,756,9
Product_93,436,19
Product_94,166,17
Product_95,428,13
Product_96,326,20
Product_97,830,13
Product_98,970,10
Product_99,403,19
Product_100,679,12
Product_101,756,12
Product_102,103,14
Product_103,459,12
Product_104,472,19
Product_105,726,13
Product_106,488,16
Product_107,786,16
Product_108,263,14
Product_109,878,1
Product_110,846,20
Product_111,418,6
Product_112,314,12
Product_113,856,10
Product_114,747,10
Product_115,156,10
Product_116,532,1
Product_117,747,10
Product_118,381,16
Product_119,979,13
Product_120,197,3
Product_121,211,13
Product_122,660,5
Product_123,669,19
Product_124,270,14
Product_125,298,8
Product_126,111,6
Product_127,227,18
Product_128,649,9
Product_129,290,5
Product_130,657,5
Product_131,110,3
Product_132,528,4
Product_133,848,13
Product_134,166,10
Product_135,129,15
Product_136,990,8
Product_137,608,17
Product_138,452,9
Product_139,964,1
Product_140,144,9
Product_141,525,20
Product_142,912,13
Product_143,964,15
Product_144,659,13
Product_145,919,12
Product_146,897,10
Product_147,916,11
Product_148,614,1
Product_149,324,16
Product_150,318,10
Product_151,595,19
Product_152,695,14
Product_153,677,20
Product_154,553,10
Product_155,161,7
Product_156,877,4
Product_157,908,6
Product_158,181,10
Product_159,988,13
Product_160,650,1
Product_161,637,18
Product_162,483,20
Product_163,489,9
Product_164,595,12
Product_165,457,6
Product_166,963,8
Product_167,358,17
Product_168,835,4
Product_169,907,4
Product_170,614,5
Product_171,626,15
Product_172,809,11
Product_173,513,19
Product_174,422,10
Product_175,596,1
Product_176,421,2
Product_177,270,15
Product_178,843,3
Product_179,353,17
Product_180,236,14
Product_181,216,7
Product_182,233,15
Product_183,516,20
Product_184,593,9
Product_185,293,17
Product_186,348,2
Product_187,996,6
Product_188,832,16
Product_189,429,16
Product_190,177,15
Product_191,956,9
Product_192,952,4
Product_193,543,11
Product_194,444,18
Product_195,699,17
Product_196,425,17
Product_197,202,20
Product_198,569,14
Product_199,685,11
Product_200,473,16
Product_201,909,12
Product_202,441,17
Product_203,818,19
Product_204,349,10
Product_205,370,10
Product_206,849,20
Product_207,998,16
Product_208,553,10
Product_209,382,9
Product_210,701,17
Product_211,573,16
Product_212,869,9
Product_213,468,12
Product_214,867,10
Product_215,287,4
Product_216,168,14
Product_217,256,11
Product_218,414,20
Product_219,229,15
Product_220,911,4
Product_221,106,8
Product_222,870,1
Product_223,895,13
Product_224,608,7
Product_225,740,18
Product_226,362,4
Product_227,452,13
Product_228,822,2
Product_229,225,1
Product_230,172,4
Product_231,516,12
Product_232,733,6
Product_233,654,18
Product_234,320,10
Product_235,634,17
Product_236,145,16
Product_237,782,7
Product_238,437,16
Product_239,394,12
Product_240,299,17
Product_241,893,20
Product_242,664,13
Product_243,708,2
Product_244,746,14
Product_245,988,12
Product_246,162,15
Product_247,773,2
Product_248,975,1
Product_249,329,1
Product_250,761,15
Product_251,527,4
Product_252,333,6
Product_253,358,18
Product_254,537,7
Product_255,460,5
Product_256,581,6
Product_257,738,12
Product_258,806,5
Product_259,293,15
Product_260,851,11
Product_261,662,19
Product_262,971,7
Product_263,284,4
Product_264,312,7
Product_265,898,1
Product_266,294,5
Product_267,214,18
Product_268,104,9
Product_269,488,1
Product_270,846,2
Product_271,934,2
Product_272,254,13
Product_273,546,2
Product_274,258,7
Product_275,309,16
Product_276,439,15
Product_277,603,15
Product_278,540,11
Product_279,631,16
Product_280,195,7
Product_281,204,9
Product_282,573,10
Product_283,662,12
Product_284,685,17
Product_285,497,12
Product_286,486,1
Product_287,123,12
Product_288,158,18
Product_289,875,5
Product_290,947,14
Product_291,874,10
Product_292,516,16
Product_293,645,15
Product_294,741,13
Product_295,374,18
Product_296,373,11
Product_297,906,5
Product_298,420,17
Product_299,621,16
Product_300,174,20
Product_301,435,7
Product_302,882,1
Product_303,240,19
Product_304,764,5
Product_305,566,2
Product_306,566,8
Product_307,548,11
Product_308,386,7
Product_309,481,3
Product_310,365,15
Product_311,367,1
Product_312,688,20
Product_313,841,15
Product_314,651,18
Product_315,348,13
Product_316,663,1
Product_317,640,9
Product_318,294,9
Product_319,732,1
Product_320,119,20
Product_321,361,14
Product_322,258,3
Product_323,562,3
Product_324,280,15
Product_325,417,14
Product_326,213,7
Product_327,684,14
Product_328,182,13
Product_329,337,18
Product_330,198,18
Product_331,330,8
Product_332,587,16
Product_333,918,14
Product_334,116,7
Product_335,906,4
Product_336,852,10
Product_337,129,4
Product_338,309,14
Product_339,974,2
Product_340,393,17
Product_341,812,13
Product_342,403,1
Product_343,242,9
Product_344,186,6
Product_345,281,2
Product_346,147,13
Product_347,240,11
Product_348,964,7
Product_349,655,3
Product_350,892,10
Product_351,751,3
Product_352,342,19
Product_353,898,13
Product_354,566,2
Product_355,938,11
Product_356,865,8
Product_357,653,5
Product_358,351,20
Product_359,104,18
Product_360,722,7
Product_361,840,12
Product_362,277,18
Product_363,966,8
Product_364,416,18
Product_365,190,20
Product_366,920,20
Product_367,128,12
Product_368,675,11
Product_369,835,7
Product_370,758,8
Product_371,358,7
Product_372,814,18
Product_373,836,5
Product_374,503,13
Product_375,497,14
Product_376,415,17
Product_377,449,17
Product_378,724,3
Product_379,235,18
Product_380,946,18
Product_381,319,15
Product_382,258,20
Product_383,209,18
Product_384,343,14
Product_385,119,7
Product_386,473,18
Product_387,930,11
Product_388,971,17
Product_389,223,4
Product_390,593,3
Product_391,990,10
Product_392,976,3
Product_393,539,17
Product_394,260,9
Product_395,451,4
Product_396,165,5
Product_397,258,5
Product_398,102,2
Product_399,578,18
Product_400,185,3
Product_401,354,13
Product_402,446,20
Product_403,783,15
Product_404,291,17
Product_405,618,3
Product_406,109,17
Product_407,637,15
Product_408,215,12
Product_409,340,15
Product_410,990,15
Product_411,619,12
Product_412,387,3
Product_413,183,11
Product_414,985,14
Product_415,884,18
Product_416,282,18
Product_417,992,13
Product_418,840,13
Product_419,919,9
Product_420,596,12
Product_421,117,11
Product_422,976,13
Product_423,221,14
Product_424,192,12
Product_425,882,12
Product_426,727,4
Product_427,520,11
Product_428,486,12
Product_429,729,13
Product_430,271,9
Product_431,615,4
Product_432,156,10
Product_433,430,9
Product_434,906,9
Product_435,369,18
Product_436,894,8
Product_437,359,18
Product_438,804,1
Product_439,813,11
Product_440,984,11
Product_441,108,6
Product_442,406,8
Product_443,676,7
Product_444,146,9
Product_445,237,9
Product_446,346,14
Product_447,823,15
Product_448,228,18
Product_449,921,15
Product_450,822,6
Product_451,673,3
Product_452,177,12
Product_453,831,7
Product_454,894,13
Product_455,563,8
Product_456,586,9
Product_457,324,16
Product_458,538,18
Product_459,219,12
Product_460,720,14
Product_461,494,16
Product_462,986,16
Product_463,157,13
Product_464,109,11
Product_465,707,17
Product_466,177,2
Product_467,566,7
Product_468,692,3
Product_469,842,4
Product_470,711,5
Product_471,411,12
Product_472,804,20
Product_473,202,4
Product_474,722,17
Product_475,879,4
Product_476,252,18
Product_477,818,14
Product_478,793,4
Product_479,186,3
Product_480,169,17
Product_481,923,15
Product_482,700,14
Product_483,211,7
Product_484,294,14
Product_485,169,10
Product_486,879,12
Product_487,370,6
Product_488,447,3
Product_489,159,6
Product_490,691,6
Product_491,974,7
Product_492,941,4
Product_493,344,15
Product_494,718,18
Product_495,678,19
Product_496,192,15
Product_497,930,15
Product_498,231,3
Product_499,987,18
Product_500,826,12
Product_501,938,4
Product_502,495,15
Product_503,566,2
Product_504,162,10
Product_505,959,15
Product_506,561,13
Product_507,163,10
Product_508,176,12
Product_509,532,9
Product_510,559,7
Product_511,381,16
Product_512,446,6
Product_513,212,7
Product_514,449,20
Product_515,754,5
Product_516,434,1
Product_517,600,11
Product_518,122,19
Product_519,722,6
Product_520,268,13
Product_521,221,6
Product_522,593,20
Product_523,589,7
Product_524,574,4
Product_525,422,2
Product_526,104,16
Product_527,504,1
Product_528,529,18
Product_529,449,2
Product_530,567,14
Product_531,346,19
Product_532,102,12
Product_533,828,11
Product_534,671,20
Product_535,225,12
Product_536,486,2
Product_537,772,11
Product_538,511,9
Product_539,474,10
Product_540,808,15
Product_541,128,8
Product_542,478,20
Product_543,908,19
Product_544,125,20
Product_545,360,9
Product_546,877,20
Product_547,256,5
Product_548,477,15
Product_549,415,14
Product_550,274,7
Product_551,606,16
Product_552,835,1
Product_553,961,5
Product_554,593,14
Product_555,405,19
Product_556,845,10
Product_557,463,6
Product_558,861,18
Product_559,331,9
Product_560,891,1
Product_561,256,14
Product_562,730,4
Product_563,940,15
Product_564,734,4
Product_565,832,12
Product_566,794,9
Product_567,475,16
Product_568,479,5
Product_569,779,9
Product_570,658,6
Product_571,138,14
Product_572,861,18
Product_573,794,18
Product_574,302,8
Product_575,234,13
Product_576,102,1
Product_577,135,4
Product_578,251,1
Product_579,376,10
Product_580,380,2
Product_581,303,11
Product_582,301,13
Product_583,808,14
Product_584,955,9
Product_585,600,10
Product_586,808,9
Product_587,316,1
Product_588,357,1
Product_589,710,12
Product_590,539,5
Product_591,508,3
Product_592,525,9
Product_593,629,15
Product_594,509,20
Product_595,780,8
Product_596,701,18
Product_597,740,12
Product_598,819,17
Product_599,104,5
Product_600,732,8
Product_601,814,16
Product_602,666,1
Product_603,825,4
Product_604,552,2
Product_605,482,15
Product_606,255,14
Product_607,234,13
Product_608,886,11
Product_609,554,12
Product_610,516,20
Product_611,568,10
Product_612,326,16
Product_613,879,11
Product_614,702,15
Product_615,917,11
Product_616,267,7
Product_617,388,19
Product_618,591,3
Product_619,690,20
Product_620,148,15
Product_621,979,17
Product_622,760,16
Product_623,864,17
Product_624,626,5
Product_625,220,8
Product_626,897,2
Product_627,357,19
Product_628,126,14
Product_629,178,11
Product_630,838,8
Product_631,139,9
Product_632,408,15
Product_633,247,12
Product_634,211,3
Product_635,874,18
Product_636,184,11
Product_637,805,20
Product_638,642,14
Product_639,827,4
Product_640,923,8
Product_641,886,16
Product_642,943,1
Product_643,312,10
Product_644,691,13
Product_645,182,1
Product_646,240,13
Product_647,472,17
Product_648,988,15
Product_649,515,12
Product_650,944,11
Product_651,828,16
Product_652,614,16
Product_653,908,20
Product_654,385,4
Product_655,785,18
Product_656,727,19
Product_657,542,14
Product_658,831,17
Product_659,292,16
Product_660,310,9
Product_661,901,19
Product_662,669,9
Product_663,976,6
Product_664,440,2
Product_665,880,11
Product_666,111,15
Product_667,291,9
Product_668,166,3
Product_669,642,6
Product_670,178,19
Product_671,190,8
Product_672,637,2
Product_673,767,7
Product_674,282,8
Product_675,552,10
Product_676,912,18
Product_677,352,14
Product_678,495,12
Product_679,447,3
Product_680,362,13
Product_681,785,17
Product_682,510,6
Product_683,924,12
Product_684,445,10
Product_685,457,2
Product_686,437,5
Product_687,412,13
Product_688,556,10
Product_689,155,15
Product_690,732,11
Product_691,513,20
Product_692,930,12
Product_693,805,7
Product_694,623,9
Product_695,504,3
Product_696,849,1
Product_697,650,19
Product_698,638,16
Product_699,169,17
Product_700,740,16
Product_701,518,8
Product_702,962,4
Product_703,688,9
Product_704,876,6
Product_705,982,4
Product_706,271,4
Product_707,345,7
Product_708,722,10
Product_709,507,3
Product_710,238,4
Product_711,830,9
Product_712,660,5
Product_713,551,1
Product_714,710,15
Product_715,754,15
Product_716,142,5
Product_717,323,12
Product_718,223,2
Product_719,627,19
Product_720,223,1
Product_721,438,10
Product_722,973,20
Product_723,695,20
Product_724,441,11
Product_725,333,3
Product_726,847,7
Product_727,243,18
Product_728,409,17
Product_729,610,3
Product_730,497,4
Product_731,458,14
Product_732,360,13
Product_733,680,12
Product_734,668,11
Product_735,205,19
Product_736,701,9
Product_737,272,10
Product_738,985,15
Product_739,287,5
Product_740,847,1
Product_741,227,19
Product_742,489,16
Product_743,597,7
Product_744,381,12
Product_745,879,18
Product_746,943,3
Product_747,836,5
Product_748,200,16
Product_749,413,3
Product_750,999,3
Product_751,959,10
Product_752,400,9
Product_753,847,20
Product_754,188,17
Product_755,352,12
Product_756,323,19
Product_757,202,14
Product_758,984,7
Product_759,714,14
Product_760,199,2
Product_761,943,13
Product_762,792,5
Product_763,653,4
Product_764,628,11
Product_765,964,5
Product_766,247,15
Product_767,922,19
Product_768,847,18
Product_769,284,10
Product_770,357,18
Product_771,246,17
Product_772,186,20
Product_773,986,19
Product_774,453,2
Product_775,364,20
Product_776,663,2
Product_777,729,2
Product_778,211,4
Product_779,376,19
Product_780,647,19
Product_781,610,3
Product_782,294,10
Product_783,719,15
Product_784,446,10
Product_785,743,3
Product_786,769,13
Product_787,800,16
Product_788,398,13
Product_789,279,10
Product_790,900,20
Product_791,731,4
Product_792,816,11
Product_793,299,14
Product_794,830,7
Product_795,423,2
Product_796,326,20
Product_797,301,6
Product_798,487,16
Product_799,729,19
Product_800,134,11
Product_801,555,3
Product_802,724,14
Product_803,906,20
Product_804,538,11
Product_805,924,10
Product_806,679,3
Product_807,830,12
Product_808,992,11
Product_809,623,6
Product_810,254,6
Product_811,686,17
Product_812,277,16
Product_813,183,12
Product_814,399,17
Product_815,247,14
Product_816,692,20
Product_817,862,18
Product_818,411,15
Product_819,119,16
Product_820,155,6
Product_821,747,17
Product_822,885,2
Product_823,202,20
Product_824,865,10
Product_825,180,16
Product_826,619,19
Product_827,306,3
Product_828,828,19
Product_829,228,11
Product_830,105,3
Product_831,816,20
Product_832,268,6
Product_833,585,20
Product_834,572,14
Product_835,193,14
Product_836,399,20
Product_837,790,1
Product_838,560,17
Product_839,213,14
Product_840,644,20
Product_841,519,12
Product_842,408,8
Product_843,587,12
Product_844,138,19
Product_845,556,8
Product_846,644,3
Product_847,117,13
Product_848,699,15
Product_849,642,12
Product_850,561,2
Product_851,758,14
Product_852,698,1
Product_853,749,20
Product_854,419,6
Product_855,664,5
Product_856,562,4
Product_857,983,1
Product_858,535,8
Product_859,693,12
Product_860,982,11
Product_861,953,10
Product_862,159,6
Product_863,911,9
Product_864,465,3
Product_865,203,8
Product_866,977,5
Product_867,387,18
Product_868,609,5
Product_869,942,19
Product_870,456,7
Product_871,747,2
Product_872,520,4
Product_873,404,5
Product_874,988,18
Product_875,326,16
Product_876,635,8
Product_877,738,19
Product_878,559,13
Product_879,692,12
Product_880,853,2
Product_881,863,16
Product_882,535,13
Product_883,242,16
Product_884,496,4
Product_885,734,1
Product_886,444,5
Product_887,652,8
Product_888,561,4
Product_889,205,5
Product_890,743,14
Product_891,900,17
Product_892,593,6
Product_893,613,6
Product_894,270,15
Product_895,991,17
Product_896,150,10
Product_897,289,19
Product_898,522,9
Product_899,179,10
Product_900,268,6
Product_901,869,9
Product_902,902,15
Product_903,119,13
Product_904,144,12
Product_905,556,2
Product_906,665,6
Product_907,411,17
Product_908,694,15
Product_909,449,18
Product_910,431,16
Product_911,760,3
Product_912,778,5
Product_913,607,5
Product_914,693,9
Product_915,129,4
Product_916,108,4
Product_917,330,14
Product_918,373,9
Product_919,489,9
Product_920,261,20
Product_921,337,16
Product_922,880,20
Product_923,488,14
Product_924,324,12
Product_925,956,16
Product_926,544,6
Product_927,525,18
Product_928,184,8
Product_929,408,4
Product_930,561,18
Product_931,588,15
Product_932,220,9
Product_933,482,1
Product_934,928,10
Product_935,335,20
Product_936,774,14
Product_937,381,4
Product_938,810,13
Product_939,169,15
Product_940,398,13
Product_941,620,10
Product_942,853,1
Product_943,705,3
Product_944,864,20
Product_945,162,7
Product_946,839,14
Product_947,904,8
Product_948,547,9
Product_949,254,10
Product_950,213,1
Product_951,720,4
Product_952,726,8
Product_953,980,3
Product_954,299,17
Product_955,450,4
Product_956,145,10
Product_957,726,1
Product_958,371,2
Product_959,582,13
Product_960,366,19
Product_961,867,9
Product_962,533,17
Product_963,973,18
Product_964,107,18
Product_965,310,12
Product_966,914,17
Product_967,391,16
Product_968,963,20
Product_969,450,7
Product_970,384,18
Product_971,558,8
Product_972,773,9
Product_973,635,9
Product_974,732,8
Product_975,447,11
Product_976,179,5
Product_977,948,7
Product_978,422,14
Product_979,546,14
Product_980,340,11
Product_981,490,6
Product_982,587,2
Product_983,828,16
Product_984,281,11
Product_985,485,16
Product_986,921,15
Product_987,841,18
Product_988,433,17
Product_989,707,4
Product_990,988,11
Product_991,833,6
Product_992,320,7
Product_993,973,2
Product_994,150,15
Product_995,127,14
Product_996,380,18
Product_997,818,1
Product_998,564,20
Product_999,255,18
Product_1000,503,14
